Date,Open,High,Low,Close,Volume
2018-04-02,10220.61,10220.61,10160.61,10183.29,583665
2018-04-03,10150.93,10284.32,10150.93,10251.17,1674160
2018-04-04,10222.84,10399.65,10222.84,10343.85,996474
2018-04-05,10375.42,10731.73,10375.42,10559.45,551980
2018-04-06,10551.99,10854.54,10506.48,10680.51,1904897
2018-04-09,10705.06,10948.16,10705.06,10829.90,726692
2018-04-10,10803.87,10824.89,10792.45,10808.67,1465325
2018-04-11,10784.71,10807.14,10552.52,10679.83,1884189
2018-04-12,10719.72,10792.97,10650.73,10721.85,1085367
2018-04-13,10751.33,10751.33,10558.87,10639.98,1194471
2018-04-16,10612.62,10715.30,10612.62,10699.63,1056723
2018-04-17,10724.15,10890.30,10724.15,10862.65,1415184
2018-04-18,10869.30,10869.30,10687.95,10751.16,1034191
2018-04-19,10777.53,10906.32,10777.53,10880.87,1940443
2018-04-20,10869.05,10985.52,10707.32,10846.42,646745
2018-04-23,10860.60,11176.22,10860.60,11113.50,761358
2018-04-24,11105.36,11170.90,11024.69,11097.80,1343894
2018-04-25,11112.44,11155.54,10944.65,11050.10,1295125
2018-04-26,11032.50,11103.39,10766.98,10935.18,1649107
2018-04-27,10960.18,11056.74,10928.29,10992.52,1772261
2018-04-30,10967.34,10998.37,10838.24,10918.31,1492343
2018-05-01,10932.18,11221.05,10794.59,11007.82,1095143
2018-05-02,11035.86,11035.86,10824.50,10836.31,992555
2018-05-03,10795.08,10853.83,10745.64,10799.74,1013472
2018-05-04,10795.88,10983.57,10795.88,10971.50,1820713
2018-05-07,10962.70,10962.70,10737.32,10799.78,809479
2018-05-08,10823.12,10823.12,10789.37,10796.88,723529
2018-05-09,10813.80,10875.83,10757.07,10816.45,1474231
2018-05-10,10812.68,10929.36,10812.68,10909.02,1474427
2018-05-11,10948.29,10951.30,10511.52,10731.41,1428143
2018-05-14,10759.79,10759.79,10501.20,10588.30,1648970
2018-05-15,10584.07,10584.07,10509.45,10525.85,1018499
2018-05-16,10524.55,10638.68,10524.32,10581.50,1001734
2018-05-17,10562.18,10611.60,10544.96,10578.28,1170479
2018-05-18,10568.38,10642.47,10568.38,10620.95,820455
2018-05-21,10624.57,10642.85,10583.75,10613.30,1371941
2018-05-22,10636.21,10889.95,10636.21,10827.95,1958617
2018-05-23,10825.96,11105.71,10825.96,11083.50,1237691
2018-05-24,11113.27,11133.50,10967.16,11050.33,1628730
2018-05-25,11025.62,11162.51,10942.00,11052.25,960160
2018-05-28,11067.19,11135.85,10935.93,11035.89,1347913
2018-05-29,11078.33,11166.66,10836.42,11001.54,1620138
2018-05-30,10959.92,11143.89,10959.92,11128.98,1847943
2018-05-31,11107.62,11107.62,10829.68,10905.05,1186508
2018-06-01,10894.51,11010.62,10860.63,10935.63,1384085
2018-06-04,10911.50,10981.67,10909.85,10945.76,643903
2018-06-05,10985.13,11109.47,10861.04,10985.25,918089
2018-06-06,10982.93,11185.74,10978.10,11081.92,739892
2018-06-07,11105.58,11105.58,10981.26,11005.22,851879
2018-06-08,11029.68,11029.68,10620.99,10756.74,843441
2018-06-11,10740.56,10826.95,10740.56,10817.92,1920500
2018-06-12,10791.82,10967.82,10791.82,10921.88,1741719
2018-06-13,10945.69,10975.59,10750.00,10862.80,1934995
2018-06-14,10887.36,10887.36,10790.85,10816.58,1228139
2018-06-15,10829.35,10829.35,10618.74,10644.15,526533
2018-06-18,10683.39,10908.69,10650.84,10779.77,1832918
2018-06-19,10751.84,10949.81,10751.84,10889.41,1594182
2018-06-20,10892.73,11004.30,10892.73,10989.41,1513967
2018-06-21,10973.79,10973.79,10731.52,10766.49,1014840
2018-06-22,10744.42,10827.90,10744.42,10796.01,1474564
2018-06-25,10795.52,10795.52,10582.41,10635.69,1181604
2018-06-26,10622.11,10727.72,10621.27,10674.50,1750227
2018-06-27,10652.41,10826.05,10652.41,10760.57,1352341
2018-06-28,10773.13,10773.13,10549.66,10559.78,1529326
2018-06-29,10551.71,10551.71,10537.82,10542.82,1010247
2018-07-02,10545.42,10595.57,10389.28,10492.42,1392346
2018-07-03,10488.54,10649.25,10488.54,10646.98,1143035
2018-07-04,10614.58,10693.54,10607.80,10650.67,1623788
2018-07-05,10671.00,10871.01,10671.00,10831.03,1079861
2018-07-06,10812.23,11013.36,10550.27,10781.81,710818
2018-07-09,10764.76,10899.54,10764.76,10836.94,1984822
2018-07-10,10841.56,10841.56,10730.56,10745.09,1962590
2018-07-11,10710.93,10954.89,10710.93,10912.41,525722
2018-07-12,10884.85,10884.85,10748.97,10792.25,607744
2018-07-13,10754.72,10963.12,10622.35,10792.74,1531267
2018-07-16,10762.45,11006.09,10762.45,10951.12,1680360
2018-07-17,10956.20,11016.79,10956.20,11005.21,1372780
2018-07-18,11007.19,11007.19,10742.07,10836.30,1444797
2018-07-19,10830.13,10966.85,10830.13,10927.23,1692502
2018-07-20,10966.36,10966.36,10727.34,10808.44,935762
2018-07-23,10785.94,10792.44,10697.56,10745.00,1657611
2018-07-24,10753.06,10760.05,10753.06,10757.21,1110815
2018-07-25,10788.15,10874.40,10788.15,10859.93,649274
2018-07-26,10870.79,10936.08,10578.10,10757.09,1886601
2018-07-27,10733.41,10841.89,10733.41,10788.27,812453
2018-07-30,10759.43,11073.50,10759.43,10984.67,1145108
2018-07-31,10979.32,10979.32,10707.10,10796.97,1482930
2018-08-01,10797.01,10852.30,10607.45,10729.88,1535563
2018-08-02,10750.01,10750.01,10539.05,10582.28,1766079
2018-08-03,10610.72,10623.13,10549.58,10586.35,1706279
2018-08-06,10613.57,10613.57,10560.63,10569.57,1708477
2018-08-07,10582.38,10804.66,10582.38,10768.74,1083336
2018-08-08,10768.03,10944.38,10736.87,10840.62,691349
2018-08-09,10806.33,10806.33,10704.88,10721.22,837274
2018-08-10,10759.40,10759.40,10521.71,10635.58,1653636
2018-08-13,10602.91,10698.54,10602.91,10690.22,1347616
2018-08-14,10682.80,11322.89,10682.80,11198.36,893389
2018-08-15,11193.17,11193.17,11012.60,11026.72,608237
2018-08-16,11021.26,11182.80,10970.21,11076.50,1964336
2018-08-17,11103.03,11103.03,11048.60,11050.64,1988522
2018-08-20,11014.68,11235.18,11014.68,11141.33,737945
2018-08-21,11141.19,11141.19,11073.89,11084.44,1112078
2018-08-22,11127.03,11127.03,10984.65,10988.54,1011140
2018-08-23,10997.27,10997.27,10912.80,10925.80,786278
2018-08-24,10918.37,11048.48,10918.37,10995.56,1564803
2018-08-27,11025.25,11025.25,10992.74,10998.96,1716187
2018-08-28,11002.36,11148.68,11002.36,11147.98,1223777
2018-08-29,11186.58,11186.58,10916.98,11046.22,895632
2018-08-30,11077.68,11150.33,11077.68,11142.45,1361457
2018-08-31,11170.21,11388.16,11170.21,11347.85,1309665
2018-09-03,11316.27,11591.77,11316.27,11579.91,577635
2018-09-04,11542.89,11996.82,11542.89,11823.39,1423389
2018-09-05,11783.18,11783.18,11168.90,11284.26,1055793
2018-09-06,11316.01,11316.01,11069.11,11184.92,1914230
2018-09-07,11204.49,11335.62,11200.39,11268.01,1523300
2018-09-10,11279.83,11313.93,11279.08,11296.50,1102677
2018-09-11,11260.21,11515.70,11260.21,11513.25,1829065
2018-09-12,11494.78,11540.92,11460.39,11500.66,560706
2018-09-13,11489.14,11775.46,11489.14,11728.15,805281
2018-09-14,11698.13,11833.75,11641.84,11737.80,867147
2018-09-17,11713.46,12070.84,11713.46,11979.26,1722969
2018-09-18,11955.81,12161.46,11955.81,12078.00,519707
2018-09-19,12082.50,12270.46,12082.50,12206.14,654899
2018-09-20,12219.71,12219.71,12060.34,12091.98,1389840
2018-09-21,12140.29,12140.29,11943.03,12041.29,1513360
2018-09-24,12021.63,12209.65,12021.63,12150.94,1966494
2018-09-25,12129.02,12302.62,11795.52,12049.07,1686839
2018-09-26,12088.65,12336.90,12084.61,12210.75,1541712
2018-09-27,12184.39,12548.21,12180.42,12364.32,1238870
2018-09-28,12389.60,12449.49,12324.20,12386.84,1882403
2018-10-01,12399.47,12407.96,12311.43,12359.69,582675
2018-10-02,12382.67,12408.12,12211.70,12309.91,689023
2018-10-03,12280.45,12466.63,12280.45,12419.47,1631220
2018-10-04,12396.87,12586.76,12396.87,12520.31,845074
2018-10-05,12551.01,12698.85,12328.50,12513.68,1210337
2018-10-08,12539.12,12677.66,12466.23,12571.95,973148
2018-10-09,12618.94,12847.74,12598.14,12722.94,1668769
2018-10-10,12709.56,12709.56,12132.68,12261.23,1910000
2018-10-11,12248.63,12350.71,12160.70,12255.70,1915234
2018-10-12,12261.72,12285.54,12241.94,12263.74,1779435
2018-10-15,12303.91,12312.25,12242.95,12277.60,1133738
2018-10-16,12232.15,12280.46,12202.43,12241.45,1533108
2018-10-17,12230.54,12369.70,12230.54,12322.00,1278067
2018-10-18,12314.03,12356.86,12076.20,12216.53,824058
2018-10-19,12227.83,12467.76,12227.83,12373.30,1086657
2018-10-22,12417.90,12529.86,12417.90,12510.36,1260607
2018-10-23,12558.18,12780.01,12558.18,12690.44,1252193
2018-10-24,12736.02,12833.15,12736.02,12802.83,1453611
2018-10-25,12851.08,12930.46,12851.08,12891.97,606070
2018-10-26,12898.63,12996.71,12847.52,12922.11,643885
2018-10-29,12954.48,13131.94,12901.62,13016.78,988633
2018-10-30,12965.01,13033.71,12931.16,12982.43,803432
2018-10-31,12941.92,13180.73,12941.92,13170.53,554064
2018-11-01,13179.89,13343.96,13179.89,13270.87,533095
2018-11-02,13273.64,13329.54,13267.98,13298.76,633290
2018-11-05,13257.17,13257.17,13018.60,13045.32,1556626
2018-11-06,13087.97,13228.09,12945.58,13086.84,1881819
2018-11-07,13040.86,13040.86,12914.01,12929.27,1504497
2018-11-08,12951.24,13112.33,12933.88,13023.11,1430217
2018-11-09,12977.86,13101.53,12977.86,13082.54,1076750
2018-11-12,13070.07,13070.07,12851.94,12947.95,1752821
2018-11-13,12906.43,12906.43,12773.30,12794.61,1971738
2018-11-14,12799.86,13057.68,12799.86,12958.90,950936
2018-11-15,12992.84,12992.84,12596.08,12685.73,1336197
2018-11-16,12702.48,12702.48,12612.63,12635.21,1284966
2018-11-19,12593.89,12894.00,12593.89,12849.32,679022
2018-11-20,12881.37,12934.67,12881.37,12909.14,1666794
2018-11-21,12926.69,13352.21,12926.69,13255.22,1361528
2018-11-22,13294.25,13294.25,13003.10,13125.73,607890
2018-11-23,13133.91,13356.83,13133.91,13328.57,946145
2018-11-26,13312.58,13532.61,13312.58,13431.56,1666573
2018-11-27,13464.57,13464.57,13130.99,13262.99,1676430
2018-11-28,13278.13,13574.12,13278.13,13542.50,555058
2018-11-29,13491.47,13491.47,13275.36,13373.69,1073089
2018-11-30,13320.85,13427.87,13253.77,13340.82,800420
2018-12-03,13355.03,13355.03,13163.18,13206.12,564292
2018-12-04,13201.22,13436.85,13201.22,13365.73,830111
2018-12-05,13372.96,13372.96,13082.92,13205.07,678167
2018-12-06,13157.51,13316.03,13157.51,13275.03,671088
2018-12-07,13268.87,13403.00,13096.21,13249.60,1072872
2018-12-10,13208.36,13417.02,13170.00,13293.51,1922326
2018-12-11,13245.17,13332.35,13114.01,13223.18,1328927
2018-12-12,13270.29,13281.97,13270.29,13278.52,787802
2018-12-13,13278.24,13381.74,13207.95,13294.85,1403149
2018-12-14,13294.87,13459.16,13273.82,13366.49,1900998
2018-12-17,13317.55,13430.64,13317.55,13392.07,539303
2018-12-18,13384.49,13384.49,13327.52,13338.18,1348136
2018-12-19,13287.06,13410.16,13197.60,13303.88,1181088
2018-12-20,13324.06,13711.06,13252.67,13481.87,1258860
2018-12-21,13491.45,13848.70,13491.45,13738.07,1598829
2018-12-24,13707.47,14127.55,13707.47,14020.82,852599
2018-12-25,13986.49,14299.96,13986.49,14226.12,1232693
2018-12-26,14186.02,14215.81,13765.30,13990.56,715596
2018-12-27,14019.68,14118.67,14000.94,14059.81,1874702
2018-12-28,14055.75,14542.45,14055.75,14414.20,1682238
2018-12-31,14421.64,14555.79,14306.19,14430.99,1832317
2019-01-01,14409.76,14589.43,14409.76,14580.79,1422249
2019-01-02,14554.50,14801.65,14554.50,14749.02,617801
2019-01-03,14694.46,14752.40,14678.86,14715.63,1273298
2019-01-04,14757.46,14794.98,14713.45,14754.21,1789766
2019-01-07,14807.83,14807.83,14559.49,14623.22,586030
2019-01-08,14602.34,14602.34,14277.44,14341.86,1497466
2019-01-09,14377.54,14377.54,13936.13,13938.52,1220241
2019-01-10,13887.13,14015.14,13887.13,14009.99,1983990
2019-01-11,13971.74,13971.74,13812.42,13857.53,1281927
2019-01-14,13877.37,14052.61,13877.37,13998.37,609818
2019-01-15,13952.96,14216.08,13903.59,14059.83,1922664
2019-01-16,14112.07,14112.07,13918.23,13973.50,1763955
2019-01-17,13933.42,14150.77,13933.42,14078.84,1233627
2019-01-18,14037.05,14149.10,13847.41,13998.26,1986532
2019-01-21,14030.92,14166.86,14030.92,14130.20,768002
2019-01-22,14151.16,14173.90,13807.99,13990.94,1603926
2019-01-23,13937.02,14286.28,13937.02,14193.28,1147739
2019-01-24,14191.72,14317.42,14175.23,14246.32,975095
2019-01-25,14279.16,14345.72,14279.16,14345.71,1564702
2019-01-28,14292.66,14606.83,14176.77,14391.80,1206246
2019-01-29,14351.99,14671.37,14351.99,14559.00,879261
2019-01-30,14520.04,14878.24,14520.04,14703.44,1417867
2019-01-31,14758.68,14892.47,14758.68,14862.03,1780511
2019-02-01,14866.07,14997.56,14616.37,14806.97,1149001
2019-02-04,14770.72,15145.13,14770.72,15100.10,1922512
2019-02-05,15073.73,15689.45,15073.73,15573.13,1300844
2019-02-06,15535.72,15535.72,15393.10,15395.42,1768071
2019-02-07,15441.50,15558.20,15415.71,15486.96,1662956
2019-02-08,15440.46,15825.75,15440.46,15746.69,675898
2019-02-11,15702.26,15864.20,15665.13,15764.67,1417446
2019-02-12,15813.18,16253.23,15813.18,16100.24,555931
2019-02-13,16085.58,16085.58,15883.95,15948.78,671139
2019-02-14,15992.05,15992.05,15903.16,15924.55,1863066
2019-02-15,15977.72,15977.72,15818.16,15879.06,1490809
2019-02-18,15872.53,15917.51,15787.77,15852.64,511012
2019-02-19,15808.19,15901.94,15808.19,15888.16,1776914
2019-02-20,15862.89,15862.89,15797.75,15808.32,600137
2019-02-21,15753.03,16012.08,15654.25,15833.16,1548217
2019-02-22,15800.48,15825.67,15799.57,15812.62,801102
2019-02-25,15821.56,15823.11,15809.53,15816.32,892825
2019-02-26,15761.62,15829.23,15738.20,15783.71,1603226
2019-02-27,15723.15,15723.15,15428.43,15487.49,1485944
2019-02-28,15518.14,15694.10,15518.14,15660.88,1248880
2019-03-01,15676.95,15817.54,15594.94,15706.24,1720339
2019-03-04,15712.02,15809.13,15586.04,15697.59,1848040
2019-03-05,15722.12,16038.90,15649.31,15844.10,1824846
2019-03-06,15900.33,15952.14,15828.47,15890.31,577560
2019-03-07,15832.07,15918.41,15832.07,15882.07,1150276
2019-03-08,15850.73,15850.73,15314.03,15349.38,1856648
2019-03-11,15394.30,15521.82,15307.43,15414.63,1196096
2019-03-12,15402.30,15591.61,15158.81,15375.21,1422194
2019-03-13,15374.74,15592.13,15374.74,15517.27,1543382
2019-03-14,15465.46,15472.83,15151.35,15312.09,1390240
2019-03-15,15317.66,15605.23,15317.66,15525.58,1173629
2019-03-18,15518.87,15723.77,15518.87,15657.19,1393630
2019-03-19,15685.60,15876.94,15642.24,15759.59,1239370
2019-03-20,15796.34,15796.34,15534.98,15622.51,620288
2019-03-21,15660.14,15934.96,15660.14,15853.53,1924827
2019-03-22,15876.12,15910.83,15857.28,15884.06,1418915
2019-03-25,15867.07,15966.21,15867.07,15955.96,1302903
2019-03-26,15949.56,16016.57,15949.56,16006.39,1277968
2019-03-27,16010.16,16010.16,15645.79,15799.07,1334737
2019-03-28,15739.15,15841.23,15655.46,15748.34,890171
2019-03-29,15718.33,15718.33,15577.20,15577.94,1045867
2019-04-01,15602.11,15631.38,15466.93,15549.16,1530121
2019-04-02,15508.44,15648.22,15508.44,15584.65,1996045
2019-04-03,15627.73,15627.73,15501.69,15519.54,1170224
2019-04-04,15493.51,15556.16,15222.07,15389.12,1129054
2019-04-05,15406.07,15715.53,15402.30,15558.91,1258104
2019-04-08,15513.96,15513.96,15472.04,15475.48,1536039
2019-04-09,15513.07,15727.62,15513.07,15701.58,1656887
2019-04-10,15688.79,16152.82,15688.79,15961.30,1503833
2019-04-11,15906.87,15906.87,15627.54,15661.76,1164855
2019-04-12,15642.27,15651.62,15441.19,15546.41,1656167
2019-04-15,15538.03,15541.19,15421.31,15481.25,616209
2019-04-16,15439.38,15721.60,15439.38,15591.20,1987577
2019-04-17,15564.26,15961.50,15365.04,15663.27,665381
2019-04-18,15616.30,15845.11,15491.94,15668.53,1135069
2019-04-19,15680.03,15680.03,15579.38,15615.53,1717703
2019-04-22,15628.67,15920.02,15617.48,15768.75,1681992
2019-04-23,15825.33,16185.53,15825.33,16120.13,1709576
2019-04-24,16135.37,16202.61,16027.32,16114.97,563514
2019-04-25,16173.84,16173.84,15862.52,15864.70,1512808
2019-04-26,15858.80,16110.16,15652.85,15881.50,1944127
2019-04-29,15843.90,16118.49,15843.90,16068.04,1772258
2019-04-30,16130.77,16500.76,16096.91,16298.84,1224294
2019-05-01,16306.87,16412.60,16306.87,16401.98,1169234
2019-05-02,16354.85,16479.94,16346.90,16413.42,606126
2019-05-03,16380.37,16498.03,16250.22,16374.12,834914
2019-05-06,16333.49,16830.64,16266.60,16548.62,834165
2019-05-07,16523.27,16523.27,16327.85,16329.55,548604
2019-05-08,16295.68,16562.43,16295.68,16492.28,1723361
2019-05-09,16542.72,16542.72,16428.95,16462.54,1872082
2019-05-10,16512.91,16698.81,16507.70,16603.26,1267091
2019-05-13,16612.59,16750.96,16499.98,16625.47,908221
2019-05-14,16618.87,16618.87,16448.69,16531.02,1653133
2019-05-15,16480.61,16818.23,16047.70,16432.97,702755
2019-05-16,16490.67,16490.67,16037.48,16178.82,802550
2019-05-17,16119.97,16400.18,16108.01,16254.10,787386
2019-05-20,16208.45,16410.97,15959.23,16185.10,1581093
2019-05-21,16171.24,16695.54,16171.24,16462.75,1792895
2019-05-22,16505.99,16568.65,16348.81,16458.73,1616397
2019-05-23,16395.08,16395.08,16215.07,16225.64,1194659
2019-05-24,16264.16,16310.16,15680.17,15995.16,1942932
2019-05-27,16015.07,16015.07,15710.37,15833.32,1713148
2019-05-28,15791.59,15791.59,15493.36,15586.05,1819161
2019-05-29,15626.16,15746.71,15327.90,15537.30,1007923
2019-05-30,15477.51,16024.51,15477.51,15963.75,1157860
2019-05-31,15963.98,15963.98,15743.81,15807.06,1782362
2019-06-03,15751.71,16257.41,15751.71,16132.88,789579
2019-06-04,16130.09,16130.09,15887.23,15906.20,1290258
2019-06-05,15886.14,15940.67,15797.61,15869.14,1242993
2019-06-06,15907.69,15937.01,15488.80,15712.91,1054407
2019-06-07,15720.21,15720.21,15577.76,15629.47,971580
2019-06-10,15655.09,16235.77,15655.09,16105.30,1947538
2019-06-11,16161.17,16174.13,15960.24,16067.18,1073482
2019-06-12,16118.05,16178.93,15856.30,16017.62,1327394
2019-06-13,15990.77,16503.05,15921.18,16212.11,1103204
2019-06-14,16232.34,16304.76,16232.34,16290.22,1504702
2019-06-17,16298.30,16612.06,16136.81,16374.43,1069631
2019-06-18,16340.70,16685.92,16340.70,16547.97,1904743
2019-06-19,16495.04,16718.70,16495.04,16665.62,1192675
2019-06-20,16599.64,16714.09,16594.93,16654.51,1654172
2019-06-21,16705.23,16781.58,16705.23,16770.79,1497614
2019-06-24,16746.79,16746.79,16639.42,16651.87,1854546
2019-06-25,16616.20,17043.18,16616.20,16959.51,578220
2019-06-26,16915.52,17111.84,16915.52,17068.25,576210
2019-06-27,17127.87,17272.10,17127.87,17269.65,1107056
2019-06-28,17215.40,17308.71,17215.40,17295.61,1202634
2019-07-01,17294.77,17575.66,16775.23,17175.44,781437
2019-07-02,17122.22,17436.34,17122.22,17312.05,840775
2019-07-03,17244.75,17482.28,17088.39,17285.33,1206975
2019-07-04,17240.46,17529.12,17183.89,17356.51,1839505
2019-07-05,17299.13,17815.79,17299.13,17657.56,1903531
2019-07-08,17719.13,18361.80,17719.13,18132.18,514323
2019-07-09,18198.04,18234.39,18023.95,18129.17,1133226
2019-07-10,18108.80,18108.80,17811.63,17903.42,995562
2019-07-11,17889.88,18031.98,17889.88,18004.70,1553861
2019-07-12,18032.11,18531.82,18032.11,18389.99,1839474
2019-07-15,18348.67,18609.91,18348.67,18548.00,780114
2019-07-16,18529.24,18529.24,18303.92,18325.82,1972076
2019-07-17,18349.87,18349.87,18060.41,18109.78,958042
2019-07-18,18151.41,18356.91,17923.20,18140.05,1602067
2019-07-19,18149.36,18149.36,17771.64,17844.19,629516
2019-07-22,17849.43,18331.23,17786.43,18058.83,845059
2019-07-23,18016.26,18101.30,17796.69,17948.99,1722949
2019-07-24,17885.19,17885.19,17500.60,17521.49,776707
2019-07-25,17516.21,17516.21,17297.09,17309.71,1146278
2019-07-26,17343.75,17419.45,17147.84,17283.64,1712806
2019-07-29,17289.34,17539.47,17289.34,17474.97,626365
2019-07-30,17409.51,17571.65,17409.51,17550.60,1357456
2019-07-31,17582.80,17671.49,17535.09,17603.29,1381562
2019-08-01,17662.03,17662.03,17108.49,17313.92,1291667
2019-08-02,17319.36,17319.36,16964.68,17109.59,1870560
2019-08-05,17094.95,17231.38,17094.95,17178.66,767066
2019-08-06,17173.58,17249.24,17057.82,17153.53,1641784
2019-08-07,17148.13,17148.13,16931.13,16991.56,825313
2019-08-08,16938.94,17237.70,16613.35,16925.52,1884534
2019-08-09,16859.94,16859.94,16536.90,16646.34,932184
2019-08-12,16669.24,16957.87,16669.24,16884.04,602081
2019-08-13,16889.41,16932.96,16852.33,16892.65,618371
2019-08-14,16948.92,17622.00,16948.92,17286.34,1708190
2019-08-15,17261.54,17349.30,17015.08,17182.19,1132845
2019-08-16,17170.31,17879.19,17170.31,17593.69,1077039
2019-08-19,17651.62,18181.81,17651.62,18051.39,1812802
2019-08-20,18028.92,18109.26,17782.08,17945.67,1849131
2019-08-21,17933.65,18001.48,17565.21,17783.35,812932
2019-08-22,17746.49,17836.21,17665.33,17750.77,972581
2019-08-23,17809.66,17867.61,17450.16,17658.89,1679408
2019-08-26,17643.12,17643.12,17413.41,17488.56,1034764
2019-08-27,17537.13,17770.85,17385.50,17578.17,693911
2019-08-28,17560.90,17560.90,17162.58,17219.65,1768712
2019-08-29,17255.70,17255.70,16745.05,16909.54,1908133
2019-08-30,16886.94,16886.94,16657.20,16711.98,532157
2019-09-02,16744.99,16831.68,16664.02,16747.85,1504369
2019-09-03,16734.00,17112.70,16734.00,17006.09,1001913
2019-09-04,17010.67,17010.67,16623.57,16697.21,1253421
2019-09-05,16692.66,16756.07,16523.28,16639.68,1484592
2019-09-06,16614.77,16774.25,16542.52,16658.38,595872
2019-09-09,16626.50,16626.50,16506.03,16541.58,1724803
2019-09-10,16519.07,16519.07,16312.27,16376.74,1296581
2019-09-11,16434.84,16434.84,16215.83,16256.98,1207923
2019-09-12,16275.40,16486.87,16008.48,16247.68,1528853
2019-09-13,16200.88,16200.88,15913.69,15963.84,1646190
2019-09-16,15981.95,15981.95,15547.29,15567.50,623170
2019-09-17,15607.11,15607.11,15205.43,15240.09,601742
2019-09-18,15207.35,15386.58,15137.76,15262.17,1983042
2019-09-19,15208.50,15408.58,15208.50,15339.06,1837413
2019-09-20,15337.57,15369.80,15079.91,15224.85,513867
2019-09-23,15166.04,15166.04,14682.55,14706.70,1963516
2019-09-24,14660.47,14759.89,14387.64,14573.76,701984
2019-09-25,14544.90,14544.90,14445.27,14458.27,1243316
2019-09-26,14447.40,14560.73,14331.47,14446.10,1684895
2019-09-27,14484.01,14639.92,14285.34,14462.63,669065
